vocab_size,model_type,text_column,ngram,accuracy_round1
16384,BernoulliNB(),text_lemmatized,"(1, 4)",0.734
1024,BernoulliNB(),text_no_numerals,"(1, 4)",0.7335
1024,BernoulliNB(),text_porter_stemmed,"(1, 4)",0.733
16384,BernoulliNB(),text_porter_stemmed,"(1, 3)",0.733
8196,BernoulliNB(),text_lancaster_stemmed,"(1, 1)",0.7325
16384,BernoulliNB(),text_no_numerals,"(1, 2)",0.732
1024,BernoulliNB(),text_lemmatized,"(1, 2)",0.7315
16384,BernoulliNB(),text_porter_stemmed,"(1, 4)",0.731
8196,BernoulliNB(),text_no_numerals,"(1, 4)",0.731
1024,MultinomialNB(),text_lancaster_stemmed,"(1, 1)",0.73
1024,BernoulliNB(),text_no_numerals,"(1, 2)",0.7295
16384,BernoulliNB(),text_no_numerals,"(1, 4)",0.729
1024,BernoulliNB(),text_no_numerals,"(1, 3)",0.729
1024,BernoulliNB(),text_lancaster_stemmed,"(1, 1)",0.729
16384,BernoulliNB(),text_no_numerals,"(1, 3)",0.729
1024,BernoulliNB(),text_lemmatized,"(1, 3)",0.7285
1024,BernoulliNB(),text_lemmatized,"(1, 4)",0.728
1024,BernoulliNB(),text_lancaster_stemmed,"(1, 4)",0.728
8196,BernoulliNB(),text_no_sw,"(1, 4)",0.7275
8196,BernoulliNB(),text_no_sw,"(1, 3)",0.727
1024,BernoulliNB(),text_lancaster_stemmed,"(1, 2)",0.7265
16384,BernoulliNB(),text_no_sw,"(1, 3)",0.7255
8196,BernoulliNB(),text_no_sw,"(1, 2)",0.7245
1024,BernoulliNB(),text_lancaster_stemmed,"(1, 3)",0.7235
1024,BernoulliNB(),text_no_sw,"(1, 4)",0.7235
16384,BernoulliNB(),text_no_sw,"(1, 2)",0.723
1024,BernoulliNB(),text_no_sw,"(1, 3)",0.721
8196,MultinomialNB(),text_no_sw,"(1, 2)",0.7205
1024,BernoulliNB(),text_no_sw,"(1, 2)",0.7205
16384,BernoulliNB(),text_no_sw,"(1, 4)",0.72
8196,MultinomialNB(),text_no_sw,"(1, 4)",0.719
16384,MultinomialNB(),text_no_sw,"(1, 2)",0.719
8196,MultinomialNB(),text_no_sw,"(1, 3)",0.7185
16384,MultinomialNB(),text_no_sw,"(1, 3)",0.7175
1024,BernoulliNB(),text_no_sw,"(1, 1)",0.717
1024,MultinomialNB(),text_no_sw,"(1, 4)",0.7165
8196,BernoulliNB(),text_no_sw,"(1, 1)",0.716
16384,MultinomialNB(),text_no_sw,"(1, 4)",0.716
16384,BernoulliNB(),text_no_sw,"(1, 1)",0.7155
1024,MultinomialNB(),text_no_sw,"(1, 2)",0.7135
16384,MultinomialNB(),text_no_sw,"(1, 1)",0.7125
1024,MultinomialNB(),text_no_sw,"(1, 3)",0.7115
8196,MultinomialNB(),text_no_sw,"(1, 1)",0.7105
1024,MultinomialNB(),text_no_sw,"(1, 1)",0.708
1024,GaussianNB(),text_lemmatized,"(1, 2)",0.702
1024,GaussianNB(),text_lemmatized,"(1, 3)",0.698
1024,GaussianNB(),text_lemmatized,"(1, 4)",0.697
1024,GaussianNB(),text_porter_stemmed,"(1, 4)",0.696
1024,GaussianNB(),text_no_numerals,"(1, 4)",0.6915
1024,GaussianNB(),text_no_numerals,"(1, 2)",0.691
1024,GaussianNB(),text_porter_stemmed,"(1, 2)",0.691
1024,GaussianNB(),text_porter_stemmed,"(1, 3)",0.6905
1024,GaussianNB(),text_no_numerals,"(1, 3)",0.6875
8196,BernoulliNB(),text_porter_stemmed,"(2, 2)",0.684
16384,BernoulliNB(),text_lancaster_stemmed,"(2, 2)",0.682
128,MultinomialNB(),text_porter_stemmed,"(1, 3)",0.681
128,MultinomialNB(),text_porter_stemmed,"(1, 4)",0.681
128,MultinomialNB(),text_porter_stemmed,"(1, 2)",0.681
128,MultinomialNB(),text_porter_stemmed,"(1, 1)",0.6805
8196,BernoulliNB(),text_lancaster_stemmed,"(2, 2)",0.6805
1024,GaussianNB(),text_lancaster_stemmed,"(1, 4)",0.68
16384,BernoulliNB(),text_porter_stemmed,"(2, 2)",0.6795
1024,GaussianNB(),text_lancaster_stemmed,"(1, 2)",0.679
128,BernoulliNB(),text_porter_stemmed,"(1, 1)",0.678
16384,BernoulliNB(),text_no_numerals,"(2, 2)",0.6775
1024,GaussianNB(),text_lancaster_stemmed,"(1, 3)",0.677
8196,MultinomialNB(),text_porter_stemmed,"(2, 2)",0.6765
128,BernoulliNB(),text_lancaster_stemmed,"(1, 1)",0.6755
128,BernoulliNB(),text_porter_stemmed,"(1, 3)",0.675
128,BernoulliNB(),text_porter_stemmed,"(1, 4)",0.675
128,MultinomialNB(),text_lancaster_stemmed,"(1, 1)",0.675
128,BernoulliNB(),text_porter_stemmed,"(1, 2)",0.675
8196,BernoulliNB(),text_no_numerals,"(2, 2)",0.675
128,MultinomialNB(),text_lancaster_stemmed,"(1, 3)",0.6745
8196,BernoulliNB(),text_lemmatized,"(2, 2)",0.6745
128,MultinomialNB(),text_lancaster_stemmed,"(1, 4)",0.6745
128,MultinomialNB(),text_lancaster_stemmed,"(1, 2)",0.6745
16384,BernoulliNB(),text_lemmatized,"(2, 2)",0.674
16384,MultinomialNB(),text_porter_stemmed,"(2, 2)",0.674
128,BernoulliNB(),text_lemmatized,"(1, 1)",0.672
128,BernoulliNB(),text_no_numerals,"(1, 1)",0.671
128,MultinomialNB(),text_no_numerals,"(1, 4)",0.6705
128,MultinomialNB(),text_no_numerals,"(1, 3)",0.6705
128,MultinomialNB(),text_no_numerals,"(1, 2)",0.6705
128,MultinomialNB(),text_lemmatized,"(1, 3)",0.6695
128,MultinomialNB(),text_no_numerals,"(1, 1)",0.6695
128,MultinomialNB(),text_lemmatized,"(1, 2)",0.6695
128,MultinomialNB(),text_lemmatized,"(1, 4)",0.6695
128,MultinomialNB(),text_lemmatized,"(1, 1)",0.6695
128,BernoulliNB(),text_lancaster_stemmed,"(1, 3)",0.6685
128,BernoulliNB(),text_lancaster_stemmed,"(1, 4)",0.6685
128,BernoulliNB(),text_lancaster_stemmed,"(1, 2)",0.6685
16384,MultinomialNB(),text_lancaster_stemmed,"(2, 2)",0.667
16384,MultinomialNB(),text_lemmatized,"(2, 2)",0.6645
128,BernoulliNB(),text_lemmatized,"(1, 3)",0.662
128,BernoulliNB(),text_lemmatized,"(1, 4)",0.662
128,BernoulliNB(),text_lemmatized,"(1, 2)",0.662
128,BernoulliNB(),text_no_numerals,"(1, 4)",0.661
128,BernoulliNB(),text_no_numerals,"(1, 2)",0.661
128,BernoulliNB(),text_no_numerals,"(1, 3)",0.661
8196,MultinomialNB(),text_lemmatized,"(2, 2)",0.66
8196,MultinomialNB(),text_lancaster_stemmed,"(2, 2)",0.6595
1024,GaussianNB(),text_no_sw,"(1, 3)",0.659
1024,GaussianNB(),text_no_sw,"(1, 4)",0.6585
1024,GaussianNB(),text_lancaster_stemmed,"(1, 1)",0.658
16384,MultinomialNB(),text_no_numerals,"(2, 2)",0.657
8196,MultinomialNB(),text_no_numerals,"(2, 2)",0.657
1024,GaussianNB(),text_no_sw,"(1, 2)",0.654
1024,GaussianNB(),text_lemmatized,"(1, 1)",0.6535
1024,GaussianNB(),text_no_numerals,"(1, 1)",0.6525
1024,GaussianNB(),text_porter_stemmed,"(1, 1)",0.65
128,GaussianNB(),text_porter_stemmed,"(1, 1)",0.649
128,GaussianNB(),text_no_numerals,"(1, 1)",0.649
128,BernoulliNB(),text_no_sw,"(1, 1)",0.6475
128,GaussianNB(),text_porter_stemmed,"(1, 2)",0.647
128,GaussianNB(),text_porter_stemmed,"(1, 3)",0.647
128,GaussianNB(),text_porter_stemmed,"(1, 4)",0.647
128,GaussianNB(),text_no_numerals,"(1, 3)",0.6465
128,GaussianNB(),text_no_numerals,"(1, 2)",0.6465
128,GaussianNB(),text_no_numerals,"(1, 4)",0.6465
128,BernoulliNB(),text_no_sw,"(1, 3)",0.646
128,BernoulliNB(),text_no_sw,"(1, 2)",0.646
128,BernoulliNB(),text_no_sw,"(1, 4)",0.646
128,GaussianNB(),text_lancaster_stemmed,"(1, 3)",0.6455
128,GaussianNB(),text_lancaster_stemmed,"(1, 4)",0.6455
128,GaussianNB(),text_lancaster_stemmed,"(1, 2)",0.6455
8196,GaussianNB(),text_no_numerals,"(1, 3)",0.644
128,GaussianNB(),text_lancaster_stemmed,"(1, 1)",0.644
128,GaussianNB(),text_lemmatized,"(1, 1)",0.643
128,GaussianNB(),text_no_sw,"(1, 1)",0.6425
16384,GaussianNB(),text_lancaster_stemmed,"(1, 4)",0.6425
128,GaussianNB(),text_lemmatized,"(1, 4)",0.642
128,GaussianNB(),text_no_sw,"(1, 4)",0.642
1024,GaussianNB(),text_no_sw,"(1, 1)",0.642
128,GaussianNB(),text_lemmatized,"(1, 2)",0.642
128,GaussianNB(),text_no_sw,"(1, 2)",0.642
128,GaussianNB(),text_no_sw,"(1, 3)",0.642
16384,GaussianNB(),text_lancaster_stemmed,"(1, 3)",0.642
128,GaussianNB(),text_lemmatized,"(1, 3)",0.642
128,MultinomialNB(),text_no_sw,"(1, 1)",0.6415
128,MultinomialNB(),text_no_sw,"(1, 4)",0.641
128,MultinomialNB(),text_no_sw,"(1, 3)",0.641
128,MultinomialNB(),text_no_sw,"(1, 2)",0.641
8196,GaussianNB(),text_lancaster_stemmed,"(1, 4)",0.6385
16384,GaussianNB(),text_lemmatized,"(1, 4)",0.6375
16384,GaussianNB(),text_porter_stemmed,"(1, 3)",0.636
1024,BernoulliNB(),text_porter_stemmed,"(2, 2)",0.635
1024,BernoulliNB(),text_lancaster_stemmed,"(2, 2)",0.6345
8196,GaussianNB(),text_porter_stemmed,"(1, 4)",0.6345
16384,GaussianNB(),text_lemmatized,"(1, 3)",0.6345
8196,GaussianNB(),text_no_numerals,"(1, 4)",0.6345
8196,GaussianNB(),text_lemmatized,"(1, 3)",0.6345
8196,GaussianNB(),text_lemmatized,"(1, 4)",0.6335
16384,GaussianNB(),text_no_sw,"(1, 4)",0.633
16384,GaussianNB(),text_no_numerals,"(1, 4)",0.631
8196,GaussianNB(),text_lemmatized,"(1, 1)",0.631
1024,MultinomialNB(),text_lancaster_stemmed,"(2, 2)",0.6305
8196,GaussianNB(),text_no_numerals,"(1, 2)",0.63
8196,GaussianNB(),text_lemmatized,"(1, 2)",0.6295
8196,GaussianNB(),text_lancaster_stemmed,"(1, 3)",0.628
16384,GaussianNB(),text_porter_stemmed,"(1, 4)",0.6275
8196,GaussianNB(),text_porter_stemmed,"(1, 3)",0.627
1024,BernoulliNB(),text_no_numerals,"(2, 2)",0.6255
1024,MultinomialNB(),text_porter_stemmed,"(2, 2)",0.6255
1024,BernoulliNB(),text_lemmatized,"(2, 2)",0.6245
16384,GaussianNB(),text_no_numerals,"(1, 3)",0.624
8196,GaussianNB(),text_no_numerals,"(1, 1)",0.623
16384,GaussianNB(),text_lemmatized,"(1, 2)",0.623
16384,GaussianNB(),text_no_numerals,"(1, 2)",0.6205
16384,GaussianNB(),text_lemmatized,"(1, 1)",0.6205
16384,GaussianNB(),text_porter_stemmed,"(1, 2)",0.6195
16384,GaussianNB(),text_lancaster_stemmed,"(1, 2)",0.6185
8196,GaussianNB(),text_porter_stemmed,"(1, 2)",0.6165
16384,GaussianNB(),text_no_sw,"(1, 1)",0.615
1024,GaussianNB(),text_porter_stemmed,"(2, 2)",0.614
1024,MultinomialNB(),text_no_numerals,"(2, 2)",0.613
1024,MultinomialNB(),text_lemmatized,"(2, 2)",0.613
8196,GaussianNB(),text_lancaster_stemmed,"(1, 2)",0.6125
8196,GaussianNB(),text_lemmatized,"(2, 2)",0.6125
1024,GaussianNB(),text_lancaster_stemmed,"(2, 2)",0.612
16384,GaussianNB(),text_lancaster_stemmed,"(2, 2)",0.61
16384,GaussianNB(),text_porter_stemmed,"(2, 2)",0.61
8196,GaussianNB(),text_no_sw,"(1, 4)",0.6095
16384,GaussianNB(),text_no_numerals,"(1, 1)",0.6095
16384,GaussianNB(),text_lemmatized,"(2, 2)",0.608
8196,GaussianNB(),text_porter_stemmed,"(2, 2)",0.607
1024,GaussianNB(),text_lemmatized,"(2, 2)",0.6065
8196,GaussianNB(),text_lancaster_stemmed,"(2, 2)",0.606
8196,GaussianNB(),text_no_numerals,"(2, 2)",0.6055
1024,GaussianNB(),text_no_numerals,"(2, 2)",0.605
8196,GaussianNB(),text_no_sw,"(1, 3)",0.6045
16384,GaussianNB(),text_no_numerals,"(2, 2)",0.603
8196,GaussianNB(),text_no_sw,"(1, 2)",0.6015
8196,BernoulliNB(),text_no_sw,"(2, 2)",0.591
16384,GaussianNB(),text_no_sw,"(1, 3)",0.591
16384,BernoulliNB(),text_no_sw,"(2, 2)",0.5905
8196,GaussianNB(),text_no_sw,"(1, 1)",0.5895
8196,MultinomialNB(),text_no_sw,"(2, 2)",0.589
16384,GaussianNB(),text_no_sw,"(1, 2)",0.5845
16384,MultinomialNB(),text_no_sw,"(2, 2)",0.5805
1024,BernoulliNB(),text_no_sw,"(2, 2)",0.575
128,MultinomialNB(),text_no_numerals,"(2, 2)",0.5745
8196,GaussianNB(),text_lancaster_stemmed,"(1, 1)",0.5745
16384,GaussianNB(),text_porter_stemmed,"(1, 1)",0.574
8196,GaussianNB(),text_porter_stemmed,"(1, 1)",0.5735
128,MultinomialNB(),text_porter_stemmed,"(2, 2)",0.5735
128,MultinomialNB(),text_lancaster_stemmed,"(2, 2)",0.573
128,BernoulliNB(),text_porter_stemmed,"(2, 2)",0.57
128,MultinomialNB(),text_lemmatized,"(2, 2)",0.5695
128,BernoulliNB(),text_lancaster_stemmed,"(2, 2)",0.568
128,GaussianNB(),text_porter_stemmed,"(2, 2)",0.568
128,BernoulliNB(),text_no_numerals,"(2, 2)",0.567
128,GaussianNB(),text_no_numerals,"(2, 2)",0.566
128,BernoulliNB(),text_lemmatized,"(2, 2)",0.565
128,GaussianNB(),text_lemmatized,"(2, 2)",0.565
8196,GaussianNB(),text_no_sw,"(2, 2)",0.5645
128,GaussianNB(),text_lancaster_stemmed,"(2, 2)",0.564
16384,GaussianNB(),text_no_sw,"(2, 2)",0.5635
1024,GaussianNB(),text_no_sw,"(2, 2)",0.559
1024,MultinomialNB(),text_no_sw,"(2, 2)",0.5585
16384,GaussianNB(),text_lancaster_stemmed,"(1, 1)",0.5585
128,MultinomialNB(),text_no_sw,"(2, 2)",0.5355
128,BernoulliNB(),text_no_sw,"(2, 2)",0.535
128,GaussianNB(),text_no_sw,"(2, 2)",0.5315
